function,optimiser,converged,iterations,final_value,runtime_ms,config
himmelblau,cSGD_offdiag_m_0,True,67,9.663831288264714e-07,55.95827102661133,"{'learning_rate': 0.007092464142836161, 'momentum': 0.40419127225436735, 'xi': 0.0009187304487167316, 'gamma': 0.5852350456500841, 'weight_decay': 0.004656341624179864, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
himmelblau,cSGD_fixed_log,True,97,9.049820397748182e-07,42.81187057495117,"{'learning_rate': 0.1486164010058506, 'momentum': 0.032119011586715096, 'xi': 0.4313904781343896, 'beta': 0.0}"
himmelblau,cSGD_learn_scalar,True,18,8.169803212803338e-07,44.21567916870117,"{'learning_rate': 0.4881307321766351, 'momentum': 0.17662092220619277, 'xi': 0.012253975134602484, 'beta': 0.9668989621212289, 'metric_lr': 0.011650128540357917, 'metric_reg': 1.8024398205924386e-05, 'metric_clip': 3.929708008269216}"
himmelblau,cSGD_offdiag_m_m,True,30,8.223849228972391e-07,21.328449249267578,"{'learning_rate': 0.023540497146466548, 'momentum': 0.927470625284675, 'xi': 0.00032313646292787774, 'gamma': 1.8520559563890848, 'weight_decay': 0.0016976538668768216, 'base_mode': 'grad', 'use_momentum_for_update': False}"
himmelblau,cSGD_learn_diag,True,17,2.2114353698661336e-07,47.58191108703613,"{'learning_rate': 0.2420280424995911, 'momentum': 0.20326370588697168, 'xi': 0.010222232122726426, 'beta': 0.9816693338089219, 'metric_lr': 2.2992899257998167e-05, 'metric_reg': 5.7553546751500414e-05, 'metric_clip': 3.520335378766061}"
himmelblau,cSGD_learn_scalar_log,True,48,8.026276950437006e-07,46.3714599609375,"{'learning_rate': 5.051513569136937, 'momentum': 0.5600875011071563, 'xi': 0.11424713315259648, 'beta': 0.5416776288897281, 'metric_lr': 0.005550907722126656, 'metric_reg': 3.3106732202352986e-05, 'metric_clip': 3.4285411235343077}"
himmelblau,cSGD_offdiag_l_l,True,31,1.829536409398543e-07,21.195411682128906,"{'learning_rate': 0.5860496919323422, 'momentum': 0.5898807767968761, 'xi': 0.0003283873817940655, 'gamma': 9.306554950880214, 'weight_decay': 0.00020615632708347764, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
himmelblau,Muon,True,10,3.677367147978028e-07,7.479190826416016,"{'learning_rate': 8.77009759815427, 'adam_b1': 0.0026321451360105962, 'adam_b2': 0.9191083424552967, 'eps': 7.510168951347189e-09, 'beta': 0.5983130374842583}"
himmelblau,cSGD_offdiag_theta_l,True,30,8.342097669417506e-07,24.69348907470703,"{'learning_rate': 0.029198557876704223, 'momentum': 0.20604130611784607, 'xi': 0.0002722801182204691, 'gamma': 2.682312112380045, 'weight_decay': 0.0010982305668359438, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
himmelblau,cSGD_offdiag_0_theta,True,27,2.665446967048672e-07,18.824100494384766,"{'learning_rate': 0.003959417679408942, 'momentum': 0.13795864631640053, 'xi': 0.00027413228461452304, 'gamma': 0.23762896847503906, 'weight_decay': 0.0025022477324958626, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
himmelblau,cSGD_offdiag_l_m,True,75,8.231263240998615e-08,50.30202865600586,"{'learning_rate': 0.046529613926384696, 'momentum': 0.6187834818797422, 'xi': 0.0007114545593584713, 'gamma': 1.7162254973128508, 'weight_decay': 0.00011717369515749531, 'base_mode': 'grad', 'use_momentum_for_update': True}"
himmelblau,SGD,True,11,3.9839382738529493e-07,1.2362003326416016,"{'learning_rate': 0.020863142419831178, 'momentum': 0.13402822287636146}"
himmelblau,cSGD_offdiag_theta_theta,True,19,7.767645007212125e-07,14.940261840820312,"{'learning_rate': 0.010992214365148315, 'momentum': 0.24601587975462755, 'xi': 0.00019360630481126336, 'gamma': 0.3728472648244358, 'weight_decay': 0.009526914944863761, 'base_mode': 'grad', 'use_momentum_for_update': True}"
himmelblau,cSGD_offdiag_l_theta,True,13,8.725038074986943e-07,8.928298950195312,"{'learning_rate': 0.12371225629776944, 'momentum': 0.24525985704449196, 'xi': 0.00015011371121690994, 'gamma': 5.830214867899908, 'weight_decay': 0.002465873169001366, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
himmelblau,cSGD_offdiag_l_0,True,32,9.470227367521917e-07,23.09393882751465,"{'learning_rate': 0.006263692031804783, 'momentum': 0.04777797691175675, 'xi': 0.0001643911497702061, 'gamma': 0.48445649459152806, 'weight_decay': 0.002794555648216941, 'base_mode': 'grad', 'use_momentum_for_update': False}"
himmelblau,cSGD_offdiag_0_l,True,22,7.737731297166285e-07,17.912864685058594,"{'learning_rate': 0.031293812498636574, 'momentum': 0.30367104135675693, 'xi': 0.0005062120712291744, 'gamma': 1.0318809488119427, 'weight_decay': 0.003513621281388788, 'base_mode': 'grad', 'use_momentum_for_update': True}"
himmelblau,cSGD_fixed,True,21,3.8760684873764655e-07,39.46661949157715,"{'learning_rate': 0.03533367512146812, 'momentum': 0.23846889347989741, 'xi': 0.001009114010500885, 'beta': 0.0}"
himmelblau,Adam,True,12,1.6094463325814608e-07,39.38865661621094,"{'learning_rate': 7.786646510563242, 'b1': 0.13007781484441888, 'b2': 0.944856616651566, 'eps': 3.5880160745916976e-10}"
